Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:22:07 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 21 @ 2.010330 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 102 @ 2.020214 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 103 @ 2.040117 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 104 @ 2.060019 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 105 @ 2.079922 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 106 @ 2.099842 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 22 @ 2.109881 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 107 @ 2.119746 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 15 @ 2.129788 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 108 @ 2.139673 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 109 @ 2.159575 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 110 @ 2.179477 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 111 @ 2.199381 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 23 @ 2.209393 sec on core 3
